positionName,salary,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,businessZones,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate
高级数据分析师,18k-30k,"['SQL', '数据分析', 'SPSS']",5-10年,五险一金周末双休晋升空间团队氛围,本科,全职,"['SQL', '数据分析', 'SPSS']",深圳,北京京东世纪贸易有限公司,京东集团,"['五险一金', '带薪年假', '免费班车', '定期体检']",2000人以上,宝安区,上市公司,电商,['新安'],产品|需求|项目类,数据分析,数据分析,22.549436,113.885817,2,79
售前数据分析师,10k-20k,"['大数据', '金融', '数据挖掘', '数据分析']",1-3年,"大数据,D轮+,14薪+,弹性工作",本科,全职,"['数据挖掘', '数据分析']",深圳,深圳市和讯华谷信息技术有限公司,极光,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",500-2000人,南山区,上市公司,企业服务,['南头'],开发|测试|运维类,数据开发,数据分析,22.550007,113.907458,2,100
游戏数据分析师,15k-30k,['产品'],3-5年,弹性工作，免费三餐，租房补贴，带薪休假,本科,全职,['产品'],深圳,北京字节跳动科技有限公司,字节跳动,"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",2000人以上,南山区,C轮,文娱丨内容,,运营|编辑|客服类,运营,其他运营,22.954071,113.243864,0,0
数据分析主管,15k-20k,"['移动互联网', '数据分析']",3-5年,扁平化管理、福利完善、氛围活跃,本科,全职,['数据分析'],深圳,北京魅动力教育咨询有限公司,魅动力,"['疯狂地盈利', '奇迹的模式', '弹性工作', '独特的社区']",150-500人,南山区,C轮,移动互联网,"['白石洲', '大冲', '科技园']",开发|测试|运维类,数据开发,数据分析,22.535605,113.953698,1,31
数据分析实习生,1k-2k,"['Hadoop', 'NLP', 'Redis', 'MongoDB']",不限,初创企业,本科,全职,"['Hadoop', 'NLP', 'Redis', 'MongoDB']",深圳,九章天璇投资咨询（深圳）有限公司,九章天璇,[],少于15人,福田区,未融资,"金融,数据服务","['上沙', '车公庙']",开发|测试|运维类,数据开发,数据分析,22.533034,114.022938,0,0
征信数据分析师,8k-15k,"['数据分析', 'MySQL', 'Spark', 'Hive']",不限,平台大，薪资高,不限,全职,"['数据分析', 'MySQL', 'Spark', 'Hive']",深圳,天道计然（北京）信息科技有限责任公司,美利金融,"['节日礼物', '股票期权', '带薪年假', '年底多薪']",2000人以上,南山区,B轮,金融,"['白石洲', '大冲', '科技园']",开发|测试|运维类,数据开发,数据分析,22.540776,113.951875,1,3
银行数据分析岗位,10k-20k,['大数据'],不限,五险一金，带薪年假，出差补贴,本科,全职,[],深圳,深圳市长亮科技股份有限公司,长亮科技,"['五险一金', '通讯津贴', '带薪年假', '定期体检']",2000人以上,南山区,上市公司,企业服务,,开发|测试|运维类,数据开发,数据分析,22.52824,113.953481,0,0
数据分析产品经理,10k-15k,"['用户研究', '商业产品']",3-5年,"五险一金,年终奖,通讯补贴,绩效奖金",本科,全职,"['用户研究', '商业产品']",深圳,深圳华策辉弘科技有限公司,华策,"['绩效奖金', '年终分红', '带薪年假', '五险一金']",50-150人,福田区,未融资,移动互联网,['岗厦'],产品|需求|项目类,产品经理,产品经理,22.534231,114.063737,0,0
高级数据分析工程师（线上讲师）,2k-3k,"['数据挖掘', '数据分析', '数据仓库', 'MySQL']",3-5年,行业发声好机会，打造个人品牌,本科,兼职,"['数据挖掘', '数据分析', '数据仓库', 'MySQL']",深圳,腾讯科技（深圳）有限公司,腾讯,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,南山区,上市公司,社交,,开发|测试|运维类,数据开发,数据分析,22.540719,113.93362,1,100
商业数据分析师 (003969),50k-80k,['移动互联网'],3-5年,"弹性工作,股票期权,大数据平台 千万用户",本科,全职,[],深圳,维沃移动通信有限公司,vivo,"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",2000人以上,宝安区,未融资,硬件,,产品|需求|项目类,数据分析,数据分析,22.551716,113.88742,1,30
财务数据分析,10k-20k,"['电商', '旅游']",3-5年,"国际化平台,环境舒适,好玩有趣",本科,全职,[],深圳,深圳市客路网络科技有限公司,KLOOK 客路旅行,"['零食水果供应', '带薪年假', '绩效奖金', '扁平管理']",500-2000人,福田区,D轮及以上,旅游,"['上沙', '车公庙']",综合职能|高级管理,财务,财务,22.533263,114.030219,2,100
业务建模数据分析师,18k-30k,"['教育', '移动互联网', '商业', '增长黑客', '数据分析', '数据运营']",5-10年,在线教育,不限,全职,"['商业', '增长黑客', '数据分析', '数据运营']",深圳,深圳市阿卡索资讯股份有限公司,阿卡索外教网,"['带薪年假', '弹性工作', '美女多', '领导好']",2000人以上,罗湖区,C轮,"教育,移动互联网",['国贸'],产品|需求|项目类,数据分析,数据分析,22.540494,114.121416,0,0
数据分析师,12k-20k,"['大数据', '云计算', '数据分析']",3-5年,五险一金、年底双薪、全勤奖、餐补,不限,全职,['数据分析'],深圳,深圳市菲凡数据科技有限公司,菲凡数据,"['资金雄厚', '不需要融资', '年终分红', '午餐补助']",15-50人,福田区,未融资,"电商,数据服务",,产品|需求|项目类,数据分析,数据分析,22.507562,114.056376,0,0
商业数据分析师,15k-25k,"['新零售', '电商', '商业', 'BI', '可视化', 'SQL']",3-5年,"颜值高团队,扁平化管理,老板好,员工福利",不限,全职,"['商业', 'BI', '可视化', 'SQL']",深圳,深圳市超级猩猩健身管理有限公司,超级猩猩健身,"['股票期权', '岗位晋升', '扁平管理', '五险一金']",150-500人,南山区,D轮及以上,移动互联网,['华侨城'],产品|需求|项目类,数据分析,数据分析,22.536187,113.995693,1,100
大数据分析师,4k-7k,"['数据挖掘', '数据仓库', '数据分析', 'Oracle']",不限,五险一金 周末双休 团建活动,大专,全职,"['数据挖掘', '数据仓库', '数据分析', 'Oracle']",深圳,深圳恒实网络科技有限公司,恒实网络,[],50-150人,宝安区,未融资,移动互联网,,开发|测试|运维类,数据开发,数据分析,22.557769,113.894488,0,0
电商数据分析专员,8k-12k,"['电商', '数据分析']",1-3年,弹性工时、优秀团队,本科,全职,['数据分析'],深圳,多项式科技(深圳)有限公司,多项式科技(深圳)有限公司,"['弹性工作', '领导好', '扁平管理', '五险一金']",50-150人,南山区,天使轮,"移动互联网,电商","['科技园', '南油', '后海']",市场|商务类,市场|营销,商业数据分析,22.523394,113.937985,1,18
数据分析师,15k-30k,"['大数据', '基金', 'BI', '数据分析', 'DBA', 'SQL']",3-5年,行业发展前景广阔，大数据和人工智能技术。,本科,全职,"['BI', '数据分析', 'DBA', 'SQL']",深圳,深圳深镜数据有限公司,Deep Lens Fund,[],少于15人,南山区,未融资,"金融,数据服务",['科技园'],产品|需求|项目类,数据分析,数据分析,22.531799,113.942861,0,0
数据分析师,10k-16k,"['大数据', 'MySQL']",3-5年,"发展空间大,加薪空间大,能力说话",本科,全职,['MySQL'],深圳,深圳大数易智慧科技有限公司,BDS大数易,"['年底双薪', '股票期权', '绩效奖金', '专项奖金']",少于15人,福田区,天使轮,人工智能,,开发|测试|运维类,数据开发,数据分析,22.541321,114.08763,3,100
数据分析经理（金融产品端）,15k-30k,['数据分析'],3-5年,公司平台广，福利待遇好，领导nice,本科,全职,['数据分析'],深圳,深圳市小赢科技有限责任公司,小赢科技,"['五险一金', '两餐补助', '超低息员工贷', '年底奖金']",500-2000人,南山区,上市公司,金融,"['后海', '深圳湾', '南油']",开发|测试|运维类,数据开发,数据分析,22.519131,113.941779,0,0
