positionName,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate,min_salary,max_salary
国际化社区数据分析师,内容,1-3年,六险一金，高薪期权，弹性工作，免费三餐,本科,全职,内容,北京,北京字节跳动科技有限公司,字节跳动,"扁平管理, 弹性工作, 大厨定制三餐, 就近租房补贴",2000人以上,海淀区,C轮,文娱丨内容,运营|编辑|客服类,运营,其他运营,39.977077,116.33058899999999,0,0,15,30
国际化社区数据分析师-tiktok,内容,1-3年,六险一金，高薪期权，弹性工作，免费三餐,本科,全职,内容,北京,北京字节跳动科技有限公司,字节跳动,"扁平管理, 弹性工作, 大厨定制三餐, 就近租房补贴",2000人以上,海淀区,C轮,文娱丨内容,运营|编辑|客服类,运营,其他运营,39.977077,116.33058899999999,0,0,15,30
高级数据分析总监,数据分析,10年以上,六险一金、免费班车、免费健身房,本科,全职,数据分析,北京,微梦创科网络科技（中国）有限公司,新浪微博,"年底双薪, 专项奖金, 股票期权, 五险一金",2000人以上,海淀区,上市公司,文娱丨内容,开发|测试|运维类,数据开发,数据分析,40.041426,116.27624099999998,0,1,50,80
音乐版权数据分析师,投资,不限,六险一金，高薪期权，弹性工作，免费三餐,本科,全职,投资,北京,北京字节跳动科技有限公司,字节跳动,"扁平管理, 弹性工作, 大厨定制三餐, 就近租房补贴",2000人以上,海淀区,C轮,文娱丨内容,金融类,PE|VC,其他PE|VC,39.96867,116.33008600000001,0,4,20,30
微博feed流业务数据分析专家,数据分析,3-5年,机器学习、核心业务,硕士,全职,数据分析,北京,微梦创科网络科技（中国）有限公司,新浪微博,"年底双薪, 专项奖金, 股票期权, 五险一金",2000人以上,海淀区,上市公司,文娱丨内容,开发|测试|运维类,数据开发,数据分析,40.041426,116.27624099999998,0,1,20,40
Java后台开发工程师-HR数据分析平台,"Linux/Unix, Java, MySQL",5-10年,快速发展，稳定平台,本科,全职,"Linux/Unix, Java, MySQL",北京,北京达佳互联信息技术有限公司,快手,"股票期权, 弹性工作, 定期体检, 岗位晋升",2000人以上,海淀区,D轮及以上,文娱丨内容,开发|测试|运维类,后端开发,Java,40.053389,116.29843999999999,1,24,20,40
销售数据分析师,数据分析,1-3年,高大上的工作环境，互联网工作经验，班车,本科,全职,数据分析,北京,微梦创科网络科技（中国）有限公司,新浪微博,"年底双薪, 专项奖金, 股票期权, 五险一金",2000人以上,海淀区,上市公司,文娱丨内容,产品|需求|项目类,数据分析,其他数据分析,40.041426,116.27624099999998,0,0,10,15
短视频数据分析师,产品经理,3-5年,六险一金，高薪期权，弹性工作，免费三餐,本科,全职,产品经理,北京,北京字节跳动科技有限公司,字节跳动,"扁平管理, 弹性工作, 大厨定制三餐, 就近租房补贴",2000人以上,海淀区,C轮,文娱丨内容,产品|需求|项目类,产品经理,其他产品经理,39.978738,116.33684099999999,0,0,20,40
国际化社区内容质量管理（数据分析方向）,审核,1-3年,六险一金，免费三餐，租房补贴，带薪休假,本科,全职,审核,北京,北京字节跳动科技有限公司,字节跳动,"扁平管理, 弹性工作, 大厨定制三餐, 就近租房补贴",2000人以上,海淀区,C轮,文娱丨内容,运营|编辑|客服类,审核,其他审核,40.004333,116.352554,0,0,8,15
国际化内容质量运营（数据分析方向）,用户,1-3年,六险一金，弹性工作，免费三餐，休闲下午茶,本科,全职,用户,北京,北京字节跳动科技有限公司,字节跳动,"扁平管理, 弹性工作, 大厨定制三餐, 就近租房补贴",2000人以上,海淀区,C轮,文娱丨内容,运营|编辑|客服类,运营,其他运营,40.004333,116.352554,0,0,7,12
业务中台数据分析师,数据分析,3-5年,免费三餐下午茶,本科,全职,数据分析,北京,北京字节跳动科技有限公司,字节跳动,"扁平管理, 弹性工作, 大厨定制三餐, 就近租房补贴",2000人以上,海淀区,C轮,文娱丨内容,产品|需求|项目类,数据分析,数据分析,39.96867,116.33008600000001,0,0,20,40
